Carimbo de data/hora,Nome completo,Email,Cidade
2026-04-17 09:46:00,Rodrigo Ribeiro,rodrigo.ribeiro@gmail.com,Umuarama
2026-04-17 09:47:00,Aline Dias,aline.dias@gmail.com,Foz do Iguaçu
2026-04-17 09:48:00,Luciana Mendes,luciana.mendes@gmail.com,Paranaguá
2026-04-17 09:49:00,Bianca Ramos,bianca.ramos@gmail.com,Maringá
2026-04-17 09:50:00,Luciana Nogueira,luciana.nogueira@gmail.com,Paranaguá
2026-04-17 09:51:00,Luciana Pires,luciana.pires@gmail.com,Londrina
2026-04-17 09:52:00,João Teixeira,joao.teixeira@gmail.com,Guarapuava
2026-04-17 09:53:00,Diego Dias,diego.dias@gmail.com,Apucarana
2026-04-17 09:54:00,Alex Machado,alex.machado@gmail.com,Ponta Grossa
2026-04-17 09:55:00,Caio Costa,caio.costa@gmail.com,Paranavaí
2026-04-17 09:56:00,Anderson Freitas,anderson.freitas@gmail.com,Pato Branco
2026-04-17 09:57:00,Gustavo Souza,gustavo.souza@gmail.com,Maringá
2026-04-17 09:58:00,Juliana Borges,juliana.borges@gmail.com,Maringá
2026-04-17 09:59:00,Anderson Costa,anderson.costa@gmail.com,Apucarana
2026-04-17 10:00:00,Sabrina Cunha,sabrina.cunha@gmail.com,Toledo
2026-04-17 10:01:00,Amanda Santos,amanda.santos@gmail.com,Londrina
2026-04-17 10:02:00,Gabriel Ribeiro,gabriel.ribeiro@gmail.com,Ponta Grossa
2026-04-17 10:03:00,Leonardo Medeiros,leonardo.medeiros@gmail.com,Cascavel
2026-04-17 10:04:00,Anderson Pinto,anderson.pinto@gmail.com,Campo Mourão
2026-04-17 10:05:00,Érica Rocha,erica.rocha@gmail.com,Pato Branco
2026-04-17 10:06:00,Débora Gonçalves,debora.goncalves@gmail.com,Foz do Iguaçu
2026-04-17 10:07:00,Gabriel Souza,gabriel.souza@gmail.com,Maringá
2026-04-17 10:08:00,Daniela Silva,daniela.silva@gmail.com,Toledo
2026-04-17 10:09:00,Jéssica Ribeiro,jessica.ribeiro@gmail.com,Londrina
2026-04-17 10:10:00,Rafael Freitas,rafael.freitas@gmail.com,Pato Branco
2026-04-17 10:11:00,Cláudia Silva,claudia.silva@gmail.com,Guarapuava
2026-04-17 10:12:00,Fábio Fonseca,fabio.fonseca@gmail.com,Cascavel
2026-04-17 10:13:00,Sérgio Borges,sergio.borges@gmail.com,Apucarana
2026-04-17 10:14:00,Matheus Costa,matheus.costa@gmail.com,Foz do Iguaçu
2026-04-17 10:15:00,Pedro Costa,pedro.costa@gmail.com,Ponta Grossa
2026-04-17 10:16:00,Isabela Oliveira,isabela.oliveira@gmail.com,Guarapuava
2026-04-17 10:17:00,Renan Barbosa,renan.barbosa@gmail.com,Campo Mourão
2026-04-17 10:18:00,Camila Freitas,camila.freitas@gmail.com,Paranavaí
2026-04-17 10:19:00,Vinícius Freitas,vinicius.freitas@gmail.com,Umuarama
2026-04-17 10:20:00,Ricardo Cunha,ricardo.cunha@gmail.com,Maringá
2026-04-17 10:21:00,Luciana Tavares,luciana.tavares@gmail.com,Paranavaí
2026-04-17 10:22:00,Thiago Freitas,thiago.freitas@gmail.com,Toledo
2026-04-17 10:23:00,Renan Mendes,renan.mendes@gmail.com,Paranaguá
2026-04-17 10:24:00,Fábio Monteiro,fabio.monteiro@gmail.com,Foz do Iguaçu
2026-04-17 10:25:00,João Batista,joao.batista@gmail.com,Paranaguá
2026-04-17 10:26:00,Isabela Nogueira,isabela.nogueira@gmail.com,Apucarana
2026-04-17 10:27:00,Thiago Batista,thiago.batista@gmail.com,Pato Branco
2026-04-17 10:28:00,Sabrina Ramos,sabrina.ramos@gmail.com,Curitiba
2026-04-17 10:29:00,Matheus Teixeira,matheus.teixeira@gmail.com,Toledo
2026-04-17 10:30:00,Murilo Nunes,murilo.nunes@gmail.com,Pato Branco
2026-04-17 10:31:00,Elaine Nascimento,elaine.nascimento@gmail.com,Ponta Grossa
2026-04-17 10:32:00,Débora Fernandes,debora.fernandes@gmail.com,Guarapuava
2026-04-17 10:33:00,Henrique Ramos,henrique.ramos@gmail.com,Guarapuava
2026-04-17 10:34:00,Matheus Amorim,matheus.amorim@gmail.com,Pato Branco
2026-04-17 10:35:00,Marcos Medeiros,marcos.medeiros@gmail.com,Pato Branco
2026-04-17 10:36:00,Márcio Dias,marcio.dias@gmail.com,Paranaguá
2026-04-17 10:37:00,Elaine Lopes,elaine.lopes@gmail.com,Guarapuava
2026-04-17 10:38:00,Cristiane Amorim,cristiane.amorim@gmail.com,Curitiba
2026-04-17 10:39:00,Samuel Nogueira,samuel.nogueira@gmail.com,Umuarama
2026-04-17 10:40:00,Henrique Pereira,henrique.pereira@gmail.com,Curitiba
2026-04-17 10:41:00,Jéssica Rocha,jessica.rocha@gmail.com,Cascavel
2026-04-17 10:42:00,Isabela Costa,isabela.costa@gmail.com,Curitiba
2026-04-17 10:43:00,Eduardo Teixeira,eduardo.teixeira@gmail.com,Francisco Beltrão
2026-04-17 10:44:00,Luana Martins,luana.martins@gmail.com,Londrina
2026-04-17 10:45:00,Everton Monteiro,everton.monteiro@gmail.com,Paranaguá
2026-04-17 10:46:00,Amanda Dias,amanda.dias@gmail.com,Paranavaí
2026-04-17 10:47:00,Camila Carvalho,camila.carvalho@gmail.com,Paranavaí
2026-04-17 10:48:00,João Nascimento,joao.nascimento@gmail.com,Pato Branco
2026-04-17 10:49:00,Fernanda Lima,fernanda.lima@gmail.com,Foz do Iguaçu
2026-04-17 10:50:00,Fábio Almeida,fabio.almeida@gmail.com,Apucarana
2026-04-17 10:51:00,Vanessa Freitas,vanessa.freitas@gmail.com,Ponta Grossa
2026-04-17 10:52:00,Lilian Pinto,lilian.pinto@gmail.com,Francisco Beltrão
2026-04-17 10:53:00,Karina Mendes,karina.mendes@gmail.com,Paranaguá
2026-04-17 10:54:00,Anderson Ferreira,anderson.ferreira@gmail.com,Pato Branco
2026-04-17 10:55:00,Carla Amorim,carla.amorim@gmail.com,Pato Branco
2026-04-17 10:56:00,Pedro Amorim,pedro.amorim@gmail.com,Foz do Iguaçu
2026-04-17 10:57:00,Diego Santos,diego.santos@gmail.com,Guarapuava
2026-04-17 10:58:00,Rafael Rocha,rafael.rocha@gmail.com,Paranaguá
2026-04-17 10:59:00,Carolina Santos,carolina.santos@gmail.com,Curitiba
2026-04-17 11:00:00,Cláudia Monteiro,claudia.monteiro@gmail.com,Paranaguá
2026-04-17 11:01:00,Beatriz Pires,beatriz.pires@gmail.com,Londrina
2026-04-17 11:02:00,Tiago Castro,tiago.castro@gmail.com,Apucarana
2026-04-17 11:03:00,Danilo Machado,danilo.machado@gmail.com,Guarapuava
2026-04-17 11:04:00,Gustavo Nascimento,gustavo.nascimento@gmail.com,Francisco Beltrão
2026-04-17 11:05:00,Sérgio Guimarães,sergio.guimaraes@gmail.com,Paranaguá
2026-04-17 11:06:00,Priscila Dias,priscila.dias@gmail.com,Londrina
2026-04-17 11:07:00,Thiago Nunes,thiago.nunes@gmail.com,Londrina
2026-04-17 11:08:00,André Fernandes,andre.fernandes@gmail.com,Cascavel
2026-04-17 11:09:00,Leonardo Ramos,leonardo.ramos@gmail.com,Paranaguá
2026-04-17 11:10:00,Monique Oliveira,monique.oliveira@gmail.com,Paranaguá
2026-04-17 11:11:00,Everton Costa,everton.costa@gmail.com,Campo Mourão
2026-04-17 11:12:00,Rafael Carvalho,rafael.carvalho@gmail.com,Paranaguá
2026-04-17 11:13:00,Carla Ferreira,carla.ferreira@gmail.com,Apucarana
2026-04-17 11:14:00,Anderson Mendes,anderson.mendes@gmail.com,Londrina
2026-04-17 11:15:00,William Reis,william.reis@gmail.com,Londrina
2026-04-17 11:16:00,Camila Ramos,camila.ramos@gmail.com,Ponta Grossa
2026-04-17 11:17:00,Gustavo Ferreira,gustavo.ferreira@gmail.com,Foz do Iguaçu
2026-04-17 11:18:00,Fernanda Correia,fernanda.correia@gmail.com,Guarapuava
2026-04-17 11:19:00,Rodrigo Duarte,rodrigo.duarte@gmail.com,Curitiba
2026-04-17 11:20:00,Isabela Rezende,isabela.rezende@gmail.com,Paranaguá
2026-04-17 11:21:00,Hugo Pinto,hugo.pinto@gmail.com,Maringá
2026-04-17 11:22:00,Beatriz Rezende,beatriz.rezende@gmail.com,Londrina
2026-04-17 11:23:00,Pedro Nunes,pedro.nunes@gmail.com,Guarapuava
2026-04-17 11:24:00,Renato Teixeira,renato.teixeira@gmail.com,Cascavel
2026-04-17 11:25:00,Bianca Dias,bianca.dias@gmail.com,Ponta Grossa
2026-04-17 11:26:00,Bruna Guimarães,bruna.guimaraes@gmail.com,Curitiba
2026-04-17 11:27:00,Aline Rodrigues,aline.rodrigues@gmail.com,Paranaguá
2026-04-17 11:28:00,Camila Barbosa,camila.barbosa@gmail.com,Londrina
2026-04-17 11:29:00,Henrique Campos,henrique.campos@gmail.com,Paranaguá
2026-04-17 11:30:00,Rafael Castro,rafael.castro@gmail.com,Umuarama
2026-04-17 11:31:00,Jéssica Lopes,jessica.lopes@gmail.com,Apucarana
2026-04-17 11:32:00,Letícia Lima,leticia.lima@gmail.com,Ponta Grossa
2026-04-17 11:33:00,Amanda Pinto,amanda.pinto@gmail.com,Francisco Beltrão
2026-04-17 11:34:00,Vinícius Dias,vinicius.dias@gmail.com,Cascavel
2026-04-17 11:35:00,Carla Moura,carla.moura@gmail.com,Foz do Iguaçu
2026-04-17 11:36:00,Thiago Guimarães,thiago.guimaraes@gmail.com,Ponta Grossa
2026-04-17 11:37:00,Monique Ribeiro,monique.ribeiro@gmail.com,Paranaguá
2026-04-17 11:38:00,Camila Pereira,camila.pereira@gmail.com,Foz do Iguaçu
2026-04-17 11:39:00,Fernando Rocha,fernando.rocha@gmail.com,Paranavaí
2026-04-17 11:40:00,Letícia Gonçalves,leticia.goncalves@gmail.com,Guarapuava
2026-04-17 11:41:00,Débora Pereira,debora.pereira@gmail.com,Paranaguá
2026-04-17 11:42:00,Jéssica Campos,jessica.campos@gmail.com,Francisco Beltrão
2026-04-17 11:43:00,Diego Araújo,diego.araujo@gmail.com,Ponta Grossa
2026-04-17 11:44:00,Luciana Lopes,luciana.lopes@gmail.com,Umuarama
2026-04-17 11:45:00,Alex Cunha,alex.cunha@gmail.com,Toledo
2026-04-17 11:46:00,Natália Pereira,natalia.pereira@gmail.com,Campo Mourão
2026-04-17 11:47:00,Adriana Oliveira,adriana.oliveira@gmail.com,Umuarama
2026-04-17 11:48:00,Luciana Moreira,luciana.moreira@gmail.com,Pato Branco
2026-04-17 11:49:00,Karina Monteiro,karina.monteiro@gmail.com,Foz do Iguaçu
2026-04-17 11:50:00,Murilo Dias,murilo.dias@gmail.com,Maringá
2026-04-17 11:51:00,Fernando Ramos,fernando.ramos@gmail.com,Apucarana
2026-04-17 11:52:00,Samuel Nascimento,samuel.nascimento@gmail.com,Ponta Grossa
2026-04-17 11:53:00,Érica Araújo,erica.araujo@gmail.com,Umuarama
2026-04-17 11:54:00,Daniela Moreira,daniela.moreira@gmail.com,Campo Mourão
2026-04-17 11:55:00,Natália Nascimento,natalia.nascimento@gmail.com,Ponta Grossa
2026-04-17 11:56:00,Márcio Machado,marcio.machado@gmail.com,Foz do Iguaçu
2026-04-17 11:57:00,Murilo Campos,murilo.campos@gmail.com,Umuarama
2026-04-17 11:58:00,Gabriel Rezende,gabriel.rezende@gmail.com,Toledo
2026-04-17 11:59:00,Jéssica Fonseca,jessica.fonseca@gmail.com,Maringá
2026-04-17 12:00:00,Luana Mendes,luana.mendes@gmail.com,Londrina
2026-04-17 12:01:00,Cláudia Lopes,claudia.lopes@gmail.com,Pato Branco
2026-04-17 12:02:00,Otávio Silva,otavio.silva@gmail.com,Guarapuava
2026-04-17 12:03:00,Mariana Medeiros,mariana.medeiros@gmail.com,Umuarama
2026-04-17 12:04:00,Aline Rezende,aline.rezende@gmail.com,Londrina
2026-04-17 12:05:00,Matheus Barbosa,matheus.barbosa@gmail.com,Curitiba
2026-04-17 12:06:00,Bruno Gonçalves,bruno.goncalves@gmail.com,Pato Branco
2026-04-17 12:07:00,Isabela Borges,isabela.borges@gmail.com,Foz do Iguaçu
2026-04-17 12:08:00,Bianca Gonçalves,bianca.goncalves@gmail.com,Foz do Iguaçu
2026-04-17 12:09:00,Sérgio Batista,sergio.batista@gmail.com,Cascavel
2026-04-17 12:10:00,Vinícius Correia,vinicius.correia@gmail.com,Francisco Beltrão
2026-04-17 12:11:00,Raquel Freitas,raquel.freitas@gmail.com,Ponta Grossa
2026-04-17 12:12:00,Matheus Cardoso,matheus.cardoso@gmail.com,Umuarama
2026-04-17 12:13:00,Jéssica Almeida,jessica.almeida@gmail.com,Apucarana
2026-04-17 12:14:00,Tatiane Araújo,tatiane.araujo@gmail.com,Paranaguá
2026-04-17 12:15:00,Carla Araújo,carla.araujo@gmail.com,Cascavel
2026-04-17 12:16:00,Daniela Fernandes,daniela.fernandes@gmail.com,Toledo
2026-04-17 12:17:00,Michele Ramos,michele.ramos@gmail.com,Francisco Beltrão
2026-04-17 12:18:00,Carolina Guimarães,carolina.guimaraes@gmail.com,Ponta Grossa
2026-04-17 12:19:00,Jéssica Mendes,jessica.mendes@gmail.com,Umuarama
